Method,CT_max,CT_used,Budget,Cap,TTT,Gap,Feasible
SORB,14400,14400,0.25,0.5,4857212.756842782,0.030353668675428276,True
SORB,14400,14400,0.25,0.25,5726249.393296778,0.03562300734961079,True
SORB,14400,14400,0.5,0.5,4383951.830104415,0.027816354052891592,True
SORB,14400,14400,0.5,0.25,5309461.758662535,0.043199922403910365,True
SORB,14400,14400,0.75,0.5,4357733.230496986,0.031065830828185634,True
SORB,14400,14400,0.75,0.25,5284122.323716467,0.047466634143451064,True
