Method,CT_max,CT_used,SW_RP,Cap,TTT,Gap
SORB,14400,14400,0.25,0.5,27330.90950729412,0.030085849088479864
SORB,14400,14400,0.25,0.25,27537.229190096954,0.03222126045616647
SORB,14400,14400,0.5,0.5,27273.238340593874,0.02959883181189925
SORB,14400,14400,0.5,0.25,27462.561198669748,0.0
SORB,14400,14400,0.75,0.5,27216.96301386996,0.0
SORB,14400,14400,0.75,0.25,27441.19767746952,0.0
