Method,CT_max,CT_used,SW_RP,Cap,TTT,Gap
SORB,14400,14400,0.25,0.5,7401566.486728186,0.012511237486838767
SORB,14400,14400,0.25,0.25,7397287.946552474,0.027149446423791527
SORB,14400,14400,0.5,0.5,7401526.268416783,0.0
SORB,14400,14400,0.5,0.25,7424377.70585444,0.03355499054151288
SORB,14400,14400,0.75,0.5,7424377.70585476,0.03390234068628982
SORB,14400,14400,0.75,0.25,7424377.705854984,0.03390234068559618
