Method,CT_max,CT_used,Budget,Cap,TTT,Gap,Feasible
SORB,14400,14400,0.25,0.5,26723.21860132087,0.0,True
SORB,14400,14400,0.25,0.25,27326.660440338626,0.026772694374420807,True
SORB,14400,14400,0.5,0.5,26720.32991945793,0.019708601179660792,True
SORB,14400,14400,0.5,0.25,27307.492430174796,0.0,True
SORB,14400,14400,0.75,0.5,26720.287507511814,0.0,True
SORB,14400,14400,0.75,0.25,27307.440385329854,0.0,True
