Method,CT_max,CT_used,SW_RP,Cap,TTT,Gap
SORB,14400,14400,0.25,0.5,1331733.949526105,0.013464576406953824
SORB,14400,14400,0.25,0.25,1332441.4475229424,0.0
SORB,14400,14400,0.5,0.5,1331786.877328021,0.01422084949437464
SORB,14400,14400,0.5,0.25,1331798.7927072546,0.013779299291469921
SORB,14400,14400,0.75,0.5,1331293.5261582537,0.014269120829750518
SORB,14400,14400,0.75,0.25,1331035.8541522834,0.013675634713962003
